Number,Title,URL,Date
1,"Kennesaw State program offers community, adventure in the great outdoors",https://www.kennesaw.edu/news/stories/2023/kennesaw-state-program-offers-community-in-great-outdoors.php,"August 08, 2023"
2,NIH grant will help diversify biomedical engineering-related research at Kennesaw State,https://www.kennesaw.edu/news/stories/2023/nih-grant-will-help-diversify-biomedical-engineering-research.php,"August 02, 2023"
3,Kennesaw State benefactor planting seeds for future success,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-benefactor-planting-seeds-for-future-success.php,"July 24, 2023"
4,Kennesaw State student's baseball app among best at Apple coding challenge ,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-students-baseball-app-among-best-at-apple-coding-challenge.php,"July 21, 2023"
5,Kennesaw State nursing major finds success in data science,https://www.kennesaw.edu/news/stories/2023/nursing-major-finds-success-in-data-science.php,"July 17, 2023"
6,Marine Corps group establishes scholarship to help Kennesaw State students reach graduation,https://www.kennesaw.edu/news/stories/2023/marine-corps-group-establishes-scholarship-to-help-kennesaw-state-students-reach-graduation.php,"July 14, 2023"
7,Kennesaw State graduate's national security and data analysis interests lead to defense job,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-graduates-national-security-and-data-analysis-interests-lead-to-defense-job.php,"July 12, 2023"
8,Kennesaw State and Cobb County partnership pioneers new mental health 911 response ,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-and-cobb-county-partnership-pioneers-new-mental-health-911-response.php,"July 10, 2023"
9,The Home Depot donations boost Kennesaw State's inclusive academy,https://www.kennesaw.edu/news/stories/2023/the-home-depot-donations-boost-kennesaw-states-inclusive-academy.php,"July 07, 2023"
10,KSU-Georgia Aquarium partnership takes teachers from rivers to reefs,https://www.kennesaw.edu/news/stories/2023/ksu-georgia-aquarium-partnership-takes-teachers-from-rivers-to-reefs.php,"June 30, 2023"
