Number,Title,URL,Date
1,Kennesaw State receives $2 million grant to boost doctoral education,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-receives-research-training-grant.php,"November 28, 2023"
2,Rocket scientist counting down to final launch of her career,https://www.kennesaw.edu/news/stories/2023/rocket-scientist-counting-down-to-final-launch-of-career.php,"November 21, 2023"
3,"Kennesaw State's Coles College inducts Tommy Bagwell, Lori Kaczynski into Hall of Fame",https://www.kennesaw.edu/news/stories/2023/ksu-supporters-inducted-into-coles-college-hall-of-fame.php,"November 17, 2023"
4,Kennesaw State senior bridges safety gap for law enforcement with tech startup,https://www.kennesaw.edu/news/stories/2023/ksu-student-bridges-safety-gap-for-law-enforcement-with-startup.php,"November 15, 2023"
5,Kennesaw State professor receives grant to study enzymes linked to cardiovascular disease and cancer,https://www.kennesaw.edu/news/stories/2023/professor-studies-enzymes-linked-to-cardiovascular-disease.php,"November 13, 2023"
6,"Empty Bowls event combines Kennesaw State art, music and support for students",https://www.kennesaw.edu/news/stories/2023/empty-bowls-event-combines-kennesaw-state-art-music-and-support-for-students.php,"November 10, 2023"
7,NCAA leader headlines Ethics Awareness Week observances at Kennesaw State,https://www.kennesaw.edu/news/stories/2023/ncaa-leader-headlines-ethics-awareness-week-at-ksu.php,"November 09, 2023"
8,Kennesaw State research aims to preserve language and culture in trilingual homes,https://www.kennesaw.edu/news/stories/2023/research-preserve-language-and-culture-trilingual-homes.php,"November 03, 2023"
9,Kennesaw State student encourages peers through campus engagement,https://www.kennesaw.edu/news/stories/2023/student-encourages-peers-through-campus-engagement.php,"November 01, 2023"
10,Kennesaw State researcher explores new way to use AI for student teachers,https://www.kennesaw.edu/news/stories/2023/researcher-explores-use-ai-student-teachers.php,"October 30, 2023"
