Number,Title,URL,Date
1,Marching Owls take advantage of transitional football season for Kennesaw State,https://www.kennesaw.edu/news/stories/2023/marching-owls-take-advantage-of-transitional-football-season.php,"August 31, 2023"
2,Renovated Kennesaw State Marietta Campus rec center reopens,https://www.kennesaw.edu/news/stories/2023/renovated-marietta-campus-rec-center-reopens.php,"August 29, 2023"
3,Kennesaw State celebrates 10th cohort of Birla Carbon scholars,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-celebrates-10th-cohort-birla-carbon-scholars.php,"August 28, 2023"
4,Kennesaw State biology professor will create research opportunities through NIH grant,https://www.kennesaw.edu/news/stories/2023/biology-professor-create-research-through-nih-grant.php,"August 24, 2023"
5,Kennesaw State names recipients of 2023 Alumni Awards,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-names-recipients-of-2023-alumni-awards.php,"August 23, 2023"
6,'Talking drum' master opens Year of Senegal with lively performance,https://www.kennesaw.edu/news/stories/2023/talking-drum-performance-opens-year-of-senegal-at-kennesaw-state.php,"August 22, 2023"
7,Kennesaw State student earns spot in speed climbing for 2024 Olympics in Paris,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-student-earns-spot-in-speed-climbing-for-2024-olympics.php,"August 21, 2023"
8,Fun programs have serious purpose to engage Kennesaw State students,https://www.kennesaw.edu/news/stories/2023/programs-have-purpose-to-engage-kennesaw-state-students.php,"August 16, 2023"
9,Kennesaw State leaders welcome faculty and staff for new academic year,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-leaders-welcome-faculty-and-staff-for-new-year.php,"August 10, 2023"
10,Kennesaw State economic impact climbs to more than $2 billion in 2022,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-economic-impact-climbs-to-2-billion.php,"August 09, 2023"
