Number,Title,URL,Date
1,Kennesaw State alumna returns to campus as nursing faculty member,https://www.kennesaw.edu/news/stories/2024/ksu-alum-returns-as-nursing-faculty-member.php,"February 14, 2024"
2,Kennesaw State University to offer Master of Science in Artificial Intelligence,https://www.kennesaw.edu/news/stories/2024/kennesaw-state-offers-master-of-science-artificial-intelligence.php,"February 13, 2024"
3,Kennesaw State Academic Learning Center named for longtime family benefactors,https://www.kennesaw.edu/news/stories/2024/academic-learning-center-named-for-benefactors.php,"February 08, 2024"
4,Kennesaw State's online degree programs nationally ranked by U.S. News,https://www.kennesaw.edu/news/stories/2024/ksu-online-degree-programs-nationally-ranked-by-us-news.php,"February 07, 2024"
5,Kennesaw State breaks ground for interdisciplinary STEM building,https://www.kennesaw.edu/news/stories/2024/ksu-breaks-ground-interdisciplinary-stem-building.php,"February 02, 2024"
6,Conference USA announces 2024 football schedule,https://ksuowls.com/news/2024/2/1/football-conference-usa-announces-2024-schedule.aspx?utm_medium=sidearm-email&utm_source=ksuowls.com&utm_campaign=FB%3a+Conference+USA+Announces+2024+Schedule&utm_content=b8c1fbe0-1a1b-4c60-8426-4584329c08c6,"February 01, 2024"
7,Dad's cancer diagnosis inspired Kennesaw State student's award-winning research,https://www.kennesaw.edu/news/stories/2024/ksu-student-inspired-for-award-winning-research.php,"January 30, 2024"
8,Ph.D. graduates join the ranks of peacebuilders,https://radow.kennesaw.edu/about/news/posts/2024-01-18-phd-graduates-conflict-resolution.php,"January 23, 2024"
9,"Kennesaw State honors legacy of MLK with week of service, remembrance",https://www.kennesaw.edu/news/stories/2024/ksu-honors-legacy-of-mlk-with-week-of-service-remembrance.php,"January 19, 2024"
10,Kennesaw State receives grant to help children with sickle cell disease,https://www.kennesaw.edu/news/stories/2023/ksu-receives-grant-to-help-children-with-sickle-cell-disease.php,"January 17, 2024"
