Number,Title,URL,Date
1,Kennesaw State alum takes love of analytics to the big leagues,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-alum-takes-love-of-analytics-to-the-big-leagues.php,"June 28, 2023"
2,Researcher discovering better approaches to help the grieving,https://www.kennesaw.edu/news/stories/2023/researcher-discovering-better-approaches-to-help-the-grieving.php,"June 26, 2023"
3,Kennesaw State student finds direction in chemistry with Double-Owl program,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-student-finds-direction-in-chemistry-with-double-owl-program.php,"June 23, 2023"
4,Back in the Nest: Former student-athletes return to KSU as coaches,https://www.kennesaw.edu/news/stories/2023/back-in-the-nest-former-student-athletes-return-to-ksu-as-coaches.php,"June 21, 2023"
5,Kennesaw State faculty member earns prestigious cybersecurity fellowship,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-associate-professor-named-a-202-trusted-ci-fellow.php,"June 14, 2023"
6,Researcher uses virtual reality to help autism spectrum students cope,https://www.kennesaw.edu/news/stories/2023/researcher-uses-virtual-reality-to-help-autism-spectrum-students-cope.php,"June 12, 2023"
7,Kennesaw State faculty study shows potential effects of presidents' use of Twitter,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-faculty-study-shows-potential-effects-of-presidents-use-of-twitter.php,"June 09, 2023"
8,Seasoned leader takes charge of Military and Veterans Services at Kennesaw State,https://www.kennesaw.edu/news/stories/2023/seasoned-leader-takes-charge-of-military-and-veterans-services-at-kennesaw-state.php,"June 07, 2023"
9,Kennesaw State targets in-school mental health gaps using $4.4 million federal grant,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-targets-in-school-mental-health-gaps-using-4-and-a-half-million-dollar-federal-grant.php,"June 05, 2023"
10,Kennesaw State graduate programs meeting rising demands,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-graduate-programs-meeting-rising-demands.php,"June 02, 2023"
