Number,Title,URL,Date
1,"Kennesaw State sibling students show diligence, care in school and life",https://www.kennesaw.edu/news/stories/2023/kennesaw-state-sibling-students-show-diligence-care-in-school-and-life.php,"May 31, 2023"
2,Accident spurs Kennesaw State student to research,https://www.kennesaw.edu/news/stories/2023/accident-spurs-kennesaw-state-student-to-research.php,"May 26, 2023"
3,A comprehensive look at staging a major theater production at Kennesaw State,https://experience.kennesaw.edu/rent-cota-2023,"May 25, 2023"
4,NIH funding boosts diversity in Kennesaw State exercise science laboratory,https://www.kennesaw.edu/news/stories/2023/nih-funding-boosts-diversity-in-kennesaw-state-exercise-science-laboratory.php,"May 22, 2023"
5,Kennesaw State master's graduate makes satisfying career change,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-masters-graduate-makes-satisfying-career-change.php,"May 19, 2023"
6,Kennesaw State summer program aimed at increasing minority educators,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-summer-program-aimed-at-increasing-minority-educators.php,"May 17, 2023"
7,Kennesaw State names Karin Scarpinato as vice president for research,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-names-karin-scarpinato-as-vice-president-for-research.php,"May 11, 2023"
8,"Kennesaw State alumna addresses new graduates, endows scholarship",https://www.kennesaw.edu/news/stories/2023/kennesaw-state-alumna-addresses-new-graduates-endows-scholarship.php,"May 10, 2023"
9,Kennesaw State graduate bound for Ecuador with Peace Corps,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-graduate-bound-for-ecuador-with-peace-corps.php,"May 10, 2023"
10,Kennesaw State sales competition lands Coles graduate a career opportunity,https://www.kennesaw.edu/news/stories/2023/kennesaw-state-sales-competition-lands-coles-graduate-a-career-opportunity.php,"May 09, 2023"
